数据库：年度数据
时间：最近10年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
年末总人口(万人),140967,141175,141260,141212,141008,140541,140011,139232,138326,137646
男性人口(万人),72032,72206,72311,72357,72039,71864,71650,71307,70857,70522
女性人口(万人),68935,68969,68949,68855,68969,68677,68361,67925,67469,67124
城镇人口(万人),93267,92071,91425,90220,88426,86433,84343,81924,79302,76738
乡村人口(万人),47700,49104,49835,50992,52582,54108,55668,57308,59024,60908
注：1981年及以前人口数据为户籍统计数；1982、1990、2000、2010、2020年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据。总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。
数据来源：国家统计局
