1-29  分地区按行业分城镇私营单位就业人员平均工资(2022年),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,
Average Wage of Employed Persons in Urban Private Units by Sector and Region (2022),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
单位：元,,,,,,,,,,,,,,,,,,,,(yuan),
地  区,Region,,农、林、,采 矿 业,制 造 业,电力、热力、,建 筑 业,批发和零售业,交通运输、,住宿和餐饮业,信息传输、,金融业,房地产业,租赁和商务,科学研究,水利、环境,居民服务、,教    育,卫生和,文化、体育,
,,合  计,牧、渔业,,,燃气及水生产,,,仓储和邮政业,,软件和信息,,,服  务  业,和技术,和公共设施,修理和其他,,社会工作,和娱乐业,
,,,,,,和供应业,,,,,技术服务业,,,,服务业,管  理  业,服 务 业,,,,
,,,"Agriculture,",Mining,Manufacturing,Production,Construction,,,,,,,,Scientific,Management,Services to,Education,Health,"Culture,",
,,,"Forestry,",,,and Supply,,Wholesale,"Transport,",Hotels,Information,Financial,Real Estate,Leasing,Research and,of Water,"Households,",,and Social,Sports,
,,Total,Animal,,,"of Electricity,",,and,Storage,and,"Transmission,",Intermediation,,and,Technical,"Conservancy,",Repair and,,Service,and,
,,,Husbandry,,,"Heat, Gas",,Retail,and Post,Catering,Software and,,,Business,Services,Environment,Other,,,Entertainment,
,,,and Fishery,,,and Water,,Trades,,Services,Information,,,Services,,and Public,Services,,,,
,,,,,,,,,,,Technology,,,,,Facilities,,,,,
新疆,Xinjiang,58128,46850,89673,57850,78169,63588,52140,63728,43249,62181,88228,48542,64400,62896,42007,44784,41858,49651,51215,
,,,,,,,,,,,,,,,,,,,,,
1-28  分地区按行业分城镇非私营单位就业人员平均工资(2022年),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Average Wage of Employed Persons in Urban Units Excluding Private Units by Sector and Region (2022),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
单位：元,,,,,,,,,,,,,,,,,,,,,(yuan)
地  区,Region,,农、林、,采 矿 业,制 造 业,电力、热力、,建 筑 业,批发和零售业,交通运输、,住宿和餐饮业,信息传输、,金融业,房地产业,租赁和商务,科学研究,水利、环境,居民服务、,教    育,卫生和,文化、体育,公共管理、
,,合  计,牧、渔业,,,燃气及水生产,,,仓储和邮政业,,软件和信息,,,服  务  业,和技术,和公共设施,修理和其他,,社会工作,和娱乐业,社会保障和
,,,,,,和供应业,,,,,技术服务业,,,,服务业,管  理  业,服 务 业,,,,社会组织
,,,"Agriculture,",Mining,Manufacturing,Production,Construction,Wholesale,"Transport,",Hotels,Information,Financial,Real Estate,Leasing,Scientific,Management,Services to,Education,Health,"Culture,",Public
,,,"Forestry,",,,and Supply,,and,Storage,and,"Transmission,",Intermediation,,and,Research and,of Water,"Households,",,and Social,Sports,"Management,"
,,Total,Animal,,,"of Electricity,",,Retail,and Post,Catering,Software and,,,Business,Technical,"Conservancy,",Repair and,,Service,and,Social
,,,Husbandry,,,"Heat, Gas",,Trades,,Services,Information,,,Services,Services,Environment,Other,,,Entertainment,Security
,,,and Fishery,,,and Water,,,,,Technology,,,,,and Public,Services,,,,and Social
,,,,,,,,,,,,,,,,Facilities,,,,,Organization
,,,,,,,,,,,,,,,,,,,,,
全国,National Average,114029,58976,121522,97528,132964,78295,115408,115345,53995,220418,174341,90346,106500,163486,68256,65478,120422,135222,121151,117440
,,,,,,,,,,,,,,,,,,,,,
北京,Beijing,208977,78248,166806,182324,206786,152746,194228,146207,64967,318742,334515,125251,176281,230803,121021,81607,216740,230767,227639,188568
天津,Tianjin,129522,77218,182649,113398,184397,119076,116568,119740,39796,162820,178955,95835,93413,199095,104479,54738,147031,166757,138773,142159
河北,Hebei,90745,63528,104497,83288,123033,73940,66586,100135,47337,133183,107410,71014,69975,112680,48027,50491,101496,97740,86806,86798
山西,Shanxi,90495,55643,114368,77450,106644,77856,78572,109446,40094,107196,101160,67965,63448,94391,43348,54673,89597,90202,68311,80693
内蒙古,Inner Mongolia,100990,78029,160200,103402,129448,69584,85961,110096,47852,121971,110798,59279,73413,103090,54915,53324,105547,101008,96377,93038
                       ,,,,,,,,,,,,,,,,,,,,,
辽宁,Liaoning,92573,25848,99018,88903,97696,73407,73740,98167,39838,132767,108259,73674,62468,119735,54427,56002,104146,98938,85967,98755
吉林,Jilin,87222,57994,95777,96129,108695,64846,73820,92998,45325,105585,96088,63564,63085,107119,44151,45119,94058,93662,74285,80023
黑龙江,Heilongjiang,88235,49226,109888,86870,98731,66312,78482,100266,42733,103100,86360,54092,92334,104121,47069,47622,100184,93145,77318,87556
                       ,,,,,,,,,,,,,,,,,,,,,
上海,Shanghai,212476,95435,328480,164495,256124,148462,223922,169815,62826,330126,437183,132946,212126,262216,92591,84146,222409,227317,191524,262401
江苏,Jiangsu,121724,56987,135650,109342,171424,80995,111417,118261,56336,194303,191836,95399,90749,166161,89487,86041,157248,158503,123565,180350
浙江,Zhejiang,128825,89038,108725,102153,174442,76526,132638,128083,61709,287088,198555,106122,98612,184462,88564,72296,161245,192131,144068,178109
安徽,Anhui,98649,61363,139477,88420,135961,73907,83443,91595,51885,123902,134790,80948,61210,132305,51067,63420,120136,133119,95935,119260
福建,Fujian,103803,77840,83510,90788,141910,73178,103188,113836,52087,154022,157538,90573,79344,148080,69572,72596,124756,156258,106939,130557
江西,Jiangxi,87972,53255,78859,74719,98952,65477,73597,100680,44417,111734,117035,75508,66430,111457,43931,51382,102433,117922,92340,105043
山东,Shandong,102247,71784,129358,86610,131243,80825,80753,111139,53957,134080,112868,77815,82895,127958,55525,58982,126203,125386,108177,117273
                       ,,,,,,,,,,,,,,,,,,,,,
河南,Henan,77627,55429,96445,67584,109950,61816,67963,89817,43105,96536,135630,67209,56953,93284,46533,41642,80665,92180,76286,82731
湖北,Hubei,101388,58619,120546,87489,141894,79481,78417,106923,46624,143765,134934,77677,80233,146623,82364,58811,109169,128376,101902,122924
湖南,Hunan,91413,59293,71628,86572,113391,62797,74566,99491,44542,132496,121204,77246,71993,115976,66418,78057,94971,122074,110748,99445
广东,Guangdong,124916,76074,228763,98026,174716,87892,110346,128931,55727,228692,233820,98507,102877,175554,84782,68835,144300,189974,127404,164092
广西,Guangxi,92066,73860,78017,76265,123837,74226,80196,103680,43050,122753,131414,86410,66536,111105,60713,52768,92297,121271,85575,95462
海南,Hainan,104802,57670,156307,95106,136127,69275,114986,124046,59563,213397,141382,79410,142676,129826,54348,66293,106017,121464,95715,100699
                       ,,,,,,,,,,,,,,,,,,,,,
重庆,Chongqing,107008,78421,98536,95981,118261,69105,91094,100274,49054,166375,150097,84809,70473,147217,86427,69402,134999,148341,99017,125707
四川,Sichuan,101800,79016,133764,92572,127833,69493,88473,107349,51797,162081,119359,76904,72891,143430,66882,54139,112325,129507,96973,118134
贵州,Guizhou,95410,58137,89635,99608,131613,71926,94807,103547,48740,131111,152872,78456,70424,119281,51190,52327,97021,114343,80512,88771
云南,Yunnan,103128,58381,94648,92432,129652,73164,94504,110315,46931,120407,145501,78267,63199,122950,59165,48718,115734,115403,97467,108610
西藏,Tibet,154929,70489,137056,90240,144033,71338,101383,128490,64570,191129,263112,95214,96153,154056,76475,87946,186036,158476,145081,182512
                       ,,,,,,,,,,,,,,,,,,,,,
陕西,Shaanxi,98843,69034,138459,93189,128922,83258,74905,104730,45403,196038,124797,74177,70449,139832,60284,45300,98300,95732,77824,87186
甘肃,Gansu,90870,66538,126398,88697,103777,66281,68944,101047,42096,96245,94893,53348,60622,117070,64880,50526,103957,92029,81669,98185
青海,Qinghai,115949,48730,167733,96242,132850,104870,83447,121572,49099,145562,152308,61190,65128,123405,77450,52938,128473,121833,92425,124812
宁夏,Ningxia,114631,60853,186842,96497,147504,88439,70984,102268,49607,147114,124503,71448,60337,129034,66343,84345,117805,128124,91916,110929
新疆,Xinjiang,101764,58296,170137,93219,127622,86160,88875,121121,48416,122789,146459,61558,67121,119490,64600,67133,109386,116459,102708,89921
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
更多数据，尽在：马克数据网,,,,,,,,,,,,,,,,,,,,,
